numero,frequence_totale,gap_moyen,gap_actuel,categorie,categorie_enc,proba
26,432,35.98375870069606,0,tiede,2,0.551455117425453
20,469,33.467948717948715,0,chaud,0,0.5504244365397584
22,438,35.24027459954233,0,tiede,2,0.5302639704554423
25,412,36.92457420924574,0,froid,1,0.5079102574586563
8,418,38.02158273381295,0,froid,1,0.49309693818476474
35,436,35.749425287356324,0,tiede,2,0.4824406175955371
13,434,35.3810623556582,0,tiede,2,0.46447589737590655
30,448,35.32214765100671,0,tiede,2,0.44035147595185264
17,448,35.32214765100671,0,tiede,2,0.4161529319623408
2,432,36.03248259860789,0,tiede,2,0.4129244728179573
32,448,34.727069351230426,0,tiede,2,0.4100169034246049
29,433,35.95601851851852,0,tiede,2,0.39275597064590473
31,478,32.61635220125786,0,chaud,0,0.39183177710262024
39,430,36.95104895104895,0,tiede,2,0.3742671527438292
49,458,33.95842450765864,0,tiede,2,0.36437339587446843
