numero,frequence_totale,gap_moyen,gap_actuel,categorie,cat,proba
17,448,35.32214765100671,0,tiede,2,0.6999967111131947
46,479,33.03138075313807,0,chaud,0,0.6250233719952426
42,445,35.57657657657658,0,tiede,2,0.6023391371549325
35,436,35.749425287356324,0,tiede,2,0.6019228128281877
41,458,34.70240700218818,0,tiede,2,0.5979834728177791
22,438,35.24027459954233,0,tiede,2,0.5784106033574661
9,447,35.34529147982063,0,tiede,2,0.5750391120040081
31,478,32.61635220125786,0,chaud,0,0.5710373859725347
39,430,36.95104895104895,0,tiede,2,0.5522500736250403
37,439,36.102739726027394,0,tiede,2,0.5478298164126035
36,450,35.14031180400891,0,tiede,2,0.5423004861590507
48,443,35.75339366515837,0,tiede,2,0.5422386626986468
49,458,33.95842450765864,0,tiede,2,0.5415516642378143
13,434,35.3810623556582,0,tiede,2,0.5414825976259732
23,465,33.98922413793103,0,chaud,0,0.5387474256990615
24,429,36.268691588785046,0,tiede,2,0.5374136485714724
26,432,35.98375870069606,0,tiede,2,0.5353500120865582
11,418,37.853717026378895,0,froid,1,0.5337349529324253
5,411,38.551219512195125,0,froid,1,0.5328948088756796
2,432,36.03248259860789,0,tiede,2,0.5286716581844597
